序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1668,002032,苏 泊 尔,49.55,-0.72,-0.36,16441.0,81620437.98,1.86,50.18,49.25,49.92,49.91,1.2,0.21,21.12,7.76,39707374770.0,39658215621.0,0.0,-0.04,-6.28,-1.73
671,300979,华利集团,55.54,1.13,0.62,23022.0,126034039.68,2.64,55.54,54.09,54.9,54.92,0.7,0.2,19.4,4.32,64815180000.0,64814613492.0,0.02,0.13,9.55,-26.29
947,600803,新奥股份,18.19,0.44,0.08,62034.0,112192946.0,1.38,18.23,17.98,18.11,18.11,0.81,0.2,11.7,2.44,56336023571.0,55959126462.0,-0.05,0.0,2.36,-11.91
1069,601319,中国人保,7.78,0.13,0.01,711809.0,554357798.0,2.32,7.89,7.71,7.74,7.77,0.95,0.2,6.48,1.23,344062646736.0,276172546216.0,-0.13,0.0,-9.43,4.57
604,001872,招商港口,20.57,1.38,0.28,34897.0,71369201.22,2.22,20.65,20.2,20.2,20.29,1.16,0.2,9.8,0.82,51457197830.0,35893833659.0,0.1,0.19,3.63,4.26
763,601088,中国神华,38.86,0.91,0.35,330174.0,1278886215.0,2.05,38.96,38.17,38.36,38.51,0.89,0.2,15.67,1.92,772090685451.0,640841734931.0,-0.03,0.0,0.47,-5.73
822,600028,中国石化,5.36,0.75,0.04,1424958.0,761518087.0,2.07,5.38,5.27,5.32,5.32,1.02,0.15,15.12,0.78,649512009421.0,508352181201.0,-0.19,-0.19,-3.77,-16.9
1537,601728,中国电信,6.69,-0.59,-0.04,1165313.0,779069383.0,1.63,6.76,6.65,6.72,6.73,0.78,0.15,13.3,1.31,612182757896.0,519342884996.0,0.0,0.15,-11.51,-3.74
747,601998,中信银行,7.46,0.95,0.07,585076.0,435642142.0,2.84,7.52,7.31,7.35,7.39,1.12,0.14,5.69,0.59,415112910489.0,304091974681.0,0.0,-0.13,-11.51,9.54
855,600025,华能水电,9.25,0.65,0.06,233330.0,215447697.0,1.52,9.29,9.15,9.19,9.19,1.09,0.13,18.06,2.77,166500000000.0,166500000000.0,-0.22,-0.22,-4.24,-0.64
721,001289,龙源电力,16.87,1.02,0.17,54462.0,91214909.15,1.92,16.9,16.58,16.63,16.7,1.04,0.11,20.89,1.88,141030098687.0,85057429347.0,0.06,0.12,3.82,8.98
1426,600236,桂冠电力,6.31,-0.47,-0.03,86981.0,54777354.0,1.58,6.35,6.25,6.34,6.34,0.82,0.11,20.94,2.83,49737803931.0,49737803931.0,0.0,-0.16,1.28,-5.54
929,601857,中国石油,8.14,0.49,0.04,1408235.0,1144091113.0,1.73,8.19,8.05,8.1,8.1,0.83,0.09,8.87,0.96,1489790759439.0,1318045713439.0,-0.12,0.0,-3.33,-3.9
1037,601628,中国人寿,37.95,0.21,0.08,113003.0,427932163.0,1.69,38.14,37.5,37.8,37.87,0.79,0.05,13.1,2.05,1072645554750.0,790252963500.0,0.03,0.0,-7.12,-8.49
